1,-50.1904,-170.671,5000,1000000,Lodge St Augustine
2,21.9626,-159.341,6000,1000000,pokemon gym
3,21.4622,-158.213,6000,1000000,Hawaiian Princess Time Share
4,21.3269,-158.074,6000,1000000,Point 1003
5,21.3269,-158.074,6000,1000000,Point 1002
6,21.3263,-158.073,6000,1000000,Park
7,21.3971,-158.034,6000,1000000,Some gym
8,21.3906,-158.034,5000,1000000,Some cafe or something
9,21.3926,-158.033,5000,1000000,Some kind of park
10,21.341,-158.026,5000,1000000,Ewa by Gentry Fountain
11,21.3987,-158.024,5000,1000000,Kunia Neighborhood Park
12,21.3456,-158.023,5000,1000000,Thomas H Gentry Community Center
13,21.4049,-157.968,5000,1000000,Point 720
14,21.6473,-157.931,6000,1000000,Laie Temple Gym
15,21.6511,-157.929,6000,1000000,Hukilua Cafe Gym
16,21.6437,-157.927,6000,1000000,Housing Gym
17,21.6431,-157.927,6000,1000000,Laie Stake Gym
18,21.6491,-157.923,6000,1000000,Temple Beach Gym
19,21.6465,-157.921,6000,1000000,Laie Palms Gym
20,21.6485,-157.914,6000,1000000,Laie Point Gym
21,21.3331,-157.872,6000,1000000,Point 54
22,21.3002,-157.859,5000,1000000,Point 697
23,21.3252,-157.858,5000,1000000,Mauka-Makai Ministries Church Pokestop
24,21.2994,-157.858,5000,1000000,Point 696
25,21.3261,-157.858,5000,1000000,Kunawai Springs Pokestop
26,21.4393,-157.839,5000,1000000,Woodridge Park
27,21.3021,-157.801,5000,1000000,Point 698
28,21.2833,-157.797,5000,1000000,Point 1548
29,21.444,-157.767,5000,1000000,CH-53 Sea Stallion
30,20.9971,-156.667,5000,1000000,Point 567 - Marble Leaf Chair
31,20.9964,-156.666,5000,1000000,Point 566 - Respecting Coral Reefs Sign
32,61.1771,-149.923,6000,1000000,Point 972
33,61.1241,-149.787,5000,1000000,Christ Church Episcopal
34,61.1221,-149.785,5000,1000000,Hillside Baptist Church
35,61.1227,-149.781,5000,1000000,New Grace
36,64.8607,-147.723,5000,1000000,1919 Ford Model T
37,64.8627,-147.723,5000,1000000,Creamers Field Welcome Map
38,64.8631,-147.723,5000,1000000,Wildlife Comes First At Joy
39,64.8604,-147.721,5000,1000000,Wedgewood Gazebo
40,64.8614,-147.715,5000,1000000,Wedgewood Wildlife Sanctuary
41,64.8625,-147.714,5000,1000000,Life at Forty Below
42,64.8619,-147.714,5000,1000000,Cranes on the Wall Art Piece
43,60.9693,-142.235,5000,1000000,The Rusty Salmon
44,49.6488,-132.531,5000,1000000,Slims PokeStop
45,49.7022,-124.98,5000,1000000,Point 395
46,49.7145,-124.968,5000,1000000,Point 396
47,42.0498,-124.293,5000,1000000,Gym
48,42.0442,-124.291,5000,1000000,Chetco Point Gym
49,48.4328,-123.522,6000,1000000,Point 464
50,39.4097,-123.356,6000,1000000,Little Lake Grange Kitchen
51,44.556,-123.272,5000,1000000,Beth Powell Memorial Bench
52,44.5566,-123.272,5000,1000000,Pioneer Park
53,44.5558,-123.272,5000,1000000,Applegate Trail Marys River Crossing
54,39.1806,-123.216,5000,1000000,350 Pinoleville Rd
55,49.2609,-123.184,6000,1000000,Point 303
56,49.2573,-123.172,5000,1000000,Point 610
57,49.2574,-123.167,5000,1000000,Point 611
58,49.2616,-123.167,5000,1000000,Point 612
59,49.258,-123.166,6000,1000000,Point 305
60,49.1626,-123.138,6000,1000000,Point 166
61,49.1626,-123.137,6000,1000000,Point 165
62,49.1633,-123.137,5000,1000000,Point 445
63,49.1703,-123.129,6000,1000000,Point 336
64,49.1704,-123.129,5000,1000000,Point 650
65,49.2811,-123.024,5000,1000000,Point 2194
66,49.2816,-123.023,6000,1000000,Point 944
67,49.2811,-123.022,5000,1000000,Point 2193
68,49.2813,-123.021,5000,1000000,Point 2192
69,49.2834,-123.021,5000,1000000,Point 2187
70,49.2814,-123.02,5000,1000000,Point 2191
71,49.284,-123.02,5000,1000000,Point 2188
72,49.2823,-123.019,5000,1000000,Point 2185
73,49.2842,-123.019,5000,1000000,Point 2189
74,49.2804,-123.019,5000,1000000,Point 2195
75,49.2833,-123.019,5000,1000000,Point 2186
76,49.2824,-123.019,5000,1000000,Point 2184
77,49.2811,-123.019,5000,1000000,Point 2190
78,49.281,-123.017,5000,1000000,Point 2180
79,49.2812,-123.017,5000,1000000,Point 2179
80,49.2822,-123.016,5000,1000000,Point 2183
81,49.2804,-123.016,5000,1000000,Point 2182
82,49.2809,-123.016,5000,1000000,Point 2181
83,49.2552,-122.986,5000,1000000,Point 2271
84,49.6321,-122.918,6000,1000000,Point 961
85,45.4033,-122.825,5000,1000000,Abs Gym
86,45.4033,-122.825,5000,1000000,Point 1833
87,38.5435,-122.824,5000,1000000,Pokestop
88,45.5144,-122.822,5000,1000000,13995 SW Butner Rd
89,45.5143,-122.822,5000,1000000,Scottsdale Park Apartments
90,38.5476,-122.817,5000,1000000,Point 999
91,38.5471,-122.816,6000,1000000,Point 476
